,book_table,can_order_via_zomato,cost_for_two,delivery_reviews,dining_reviews,discount,has_menu_available,rest_type,review_rating,dining_rating,delivery_rating
251,0,0,1700.0,622.0818811945326,36.0,0.0,1,Casual Dining,5.0,3.7,1.365971367493684
252,0,1,2000.0,622.0818811945326,412.0,0.0,1,Club,2.2,2.0,1.365971367493684
253,0,1,800.0,2900.0,1245.0,0.0,1,Quick Bites,4.6,4.3,3.4
254,1,1,600.0,1020.0,382.0,20.0,1,Casual Dining,4.6,4.2,4.2
255,0,0,300.0,32.0,147.0128911057848,0.0,1,Healthy Food,5.0,3.9,1.365971367493684
256,0,0,500.0,2815.0,152.0,0.0,1,Casual Dining,2.4,3.5,3.6
257,0,0,750.0,1543.0,147.0128911057848,0.0,1,Bakery,4.8,3.7,1.365971367493684
258,0,0,500.0,95.0,45.0,0.0,1,Casual Dining,4.2,3.0,3.9
259,0,1,400.0,622.0818811945326,6.0,0.0,1,Bakery,5.0,3.6,1.365971367493684
260,0,0,500.0,227.0,276.0,0.0,1,Quick Bites,5.0,2.7,4.0
261,0,1,200.0,212.0,147.0128911057848,50.0,1,Healthy Food,4.8,4.3,1.365971367493684
262,0,1,250.0,7289.0,147.0128911057848,0.0,1,Quick Bites,4.4,3.9,1.365971367493684
263,0,1,300.0,6813.0,166.0,0.0,1,Quick Bites,2.8,3.0,3.5
264,0,1,400.0,113.0,18.0,0.0,1,Sweet Shop,4.0,3.4,3.9
265,0,0,600.0,622.0818811945326,438.0,0.0,1,Casual Dining,4.8,4.1,1.365971367493684
266,0,1,600.0,742.0,436.0,0.0,1,Casual Dining,5.0,3.9,3.9
267,0,0,400.0,1022.0,147.0128911057848,0.0,1,Sweet Shop,4.0,4.5,1.365971367493684
268,0,1,400.0,332.0,1744.0,20.0,1,Quick Bites,4.4,4.4,3.8
269,0,1,500.0,337.0,43.0,0.0,1,Quick Bites,4.4,3.4,4.1
270,0,1,1200.0,3179.0,2524.0,0.0,1,Casual Dining,4.8,4.1,4.4
271,0,0,400.0,622.0818811945326,15.0,0.0,1,Casual Dining,5.0,3.5,1.365971367493684
272,0,0,800.0,62.0,89.0,0.0,1,Pub,5.0,3.4,3.4
273,0,0,400.0,763.0,147.0128911057848,0.0,1,North Indian,5.0,3.2,1.365971367493684
274,0,1,800.0,2257.0,281.0,0.0,1,Casual Dining,4.8,3.4,3.9
275,0,0,550.0,1127.0,375.0,10.0,1,Quick Bites,4.2,4.1,4.0
276,0,0,400.0,1077.0,144.0,0.0,1,Casual Dining,3.8,3.0,3.6
277,0,1,600.0,470.0,242.0,0.0,1,Casual Dining,4.3,3.8,4.1
278,0,1,700.0,850.0,667.0,10.0,1,Casual Dining,3.2,4.1,4.0
279,0,1,600.0,5527.0,379.0,0.0,1,Casual Dining,2.6,3.6,3.5
280,0,0,250.0,108.0,147.0128911057848,10.0,1,Chinese,4.4,3.3,1.365971367493684
281,0,1,500.0,1731.0,784.0,0.0,1,Casual Dining,3.2,4.3,4.3
282,0,1,700.0,479.0,542.0,0.0,1,Casual Dining,2.8,4.2,3.8
283,0,1,500.0,622.0818811945326,147.0128911057848,0.0,1,Asian,5.0,2.8154434151713414,1.365971367493684
284,0,0,450.0,2036.0,147.0128911057848,10.0,1,Chinese,3.0,3.4,1.365971367493684
285,0,1,1200.0,915.0,1802.0,0.0,1,Café,4.6,4.6,4.3
286,0,1,1600.0,664.0,2310.0,0.0,1,Casual Dining,4.2,4.5,4.2
287,0,0,400.0,3814.0,237.0,0.0,1,Quick Bites,1.2,3.8,3.4
288,0,1,300.0,3352.0,147.0128911057848,20.0,1,North Indian,4.2,3.8,1.365971367493684
289,0,1,750.0,8502.0,526.0,0.0,1,Casual Dining,4.2,2.6,3.8
290,0,1,600.0,69.0,9.0,10.0,1,Casual Dining,5.0,3.2,2.0
291,0,0,400.0,2866.0,2178.0,0.0,1,Casual Dining,4.2,4.6,4.5
292,0,0,150.0,1840.0,440.0,0.0,1,Quick Bites,4.4,4.2,4.2
293,0,1,1000.0,452.0,464.0,0.0,1,Casual Dining,3.0,4.1,4.3
294,0,1,400.0,3610.0,147.0128911057848,0.0,1,Healthy Food,2.4,4.0,1.365971367493684
295,0,1,150.0,1570.0,87.0,0.0,1,Quick Bites,4.0,3.6,4.4
296,0,1,200.0,481.0,77.0,0.0,1,Sweet Shop,4.6,3.1,4.1
297,0,0,400.0,622.0818811945326,993.0,0.0,1,Beverage Shop,4.6,4.1,1.365971367493684
298,0,1,450.0,102.0,24.0,0.0,1,Quick Bites,4.2,3.2,3.7
299,0,1,500.0,3473.0,205.0,0.0,1,Quick Bites,1.6,3.7,3.9
